paper_number,paper_title,bib_citation,source_title,searchit_yes_no,searchit_format
47,Development of Insanity and Madness in China and Europe Since the 19th Century,"Michel Foucault. History of Madness. Routledge, 2006.",History of Madness,Yes,Print Book
47,Development of Insanity and Madness in China and Europe Since the 19th Century,"Vivien W. Ng. Madness in Late Imperial China : From Illness to Deviance. University of Oklahoma Press, 1990.",Madness in Late Imperial China : From Illness to Deviance,Yes,Print Book
47,Development of Insanity and Madness in China and Europe Since the 19th Century,"Xiuying Xu, Xin-Min Li. Dongmei Xu, and Wenqiang Wang. “Psychiatric and Mental Health Nursing in China: Past, Present and Future.” Archives of Psychiatric Nursing 3, Issue 5 (June 2017): 471. https://ntserver1.wsulibs.wsu.edu:2061/science/article/pii/S0883941717300869","Psychiatric and Mental Health Nursing in China: Past, Present and Future",Yes,Article
49,Internet Moderation: Censorship in the Digital Age,"Cragin, Thomas J. “The Failings of Popular News Censorship in Nineteenth-Century France.” Book History 4, no. 1 (2001): 49–80. https://doi.org/10.1353/bh.2001.0006. ",The Failings of Popular News Censorship in Nineteenth-Century France,Yes,Article
49,Internet Moderation: Censorship in the Digital Age,"Emden, Christian, and David R. Midgley. Beyond Habermas: Democracy, Knowledge, and the Public Sphere. New York: Berghahn Books, 2015. ","Beyond Habermas: Democracy, Knowledge, and the Public Sphere",Yes,Print Book
49,Internet Moderation: Censorship in the Digital Age,"Kidman, Shawna. “Self-Regulation through Distribution: Censorship and the Comic Book Industry in 1954.” The Velvet Light Trap 15 (2015). ",Self-Regulation through Distribution: Censorship and the Comic Book Industry in 1954,Yes,Article
49,Internet Moderation: Censorship in the Digital Age,"McClure, Amy. ""Censorship."" Children's Literature Association Quarterly 8, no. 1 (1983): 22-25. doi:10.1353/chq.0.0489.",Censorship,Yes,Article
49,Internet Moderation: Censorship in the Digital Age,"Smith, Jeremy L. “Thomas East and Music Publishing in Renaissance England.” Oxford: Oxford University Press, 2003.",Thomas East and Music Publishing in Renaissance England,Yes,Print Book
49,Internet Moderation: Censorship in the Digital Age,"Zhong, Hanfeng, and Paul A. Watters. ""The Ethics of Corporate Censorship of Information-Sharing Behavior: A Nonconsequentialist Perspective."" Library Trends 68, no. 4 (2020): 697-711. doi:10.1353/lib.2020.0018.",The Ethics of Corporate Censorship of Information-Sharing Behavior: A Nonconsequentialist Perspective,Yes,Article
51,Hiroshima and Nagasaki Health,"Asada, Sadao. “The Shock of the Atomic Bomb and Japan's Decision to Surrender: A Reconsideration.” Pacific Historical Review 67, no.4 (1998): 477-512. Accessed December 12, 2020. https://www.jstor.org/stable/3641184.",The Shock of the Atomic Bomb and Japan's Decision to Surrender: A Reconsideration,Yes,Article
