paper_number,paper_title,bib_citation,source_title,searchit_yes_no,searchit_format
161,Illicit Trading of Antiques,"Muscarella, Oscar White. “The Antiquities Trade and the Destruction of Ancient Near Eastern Cultures.” In A Companion to the Archaeology of the Ancient Near East, 106–24. Oxford, UK: Wiley‐Blackwell, 2012.",The Antiquities Trade and the Destruction of Ancient Near Eastern Cultures,Yes,Ebook Chapter
161,Illicit Trading of Antiques,"Charney, Noah. “A History of Transnational Trafficking in Stolen and Looted Art and Antiquities.” In Histories of Transnational Crime, 103–46. New York, NY: Springer New York, 2015.",A History of Transnational Trafficking in Stolen and Looted Art and Antiquities,Yes,Ebook Chapter
161,Illicit Trading of Antiques,"Gibson, McGuire. “Chapter 8. Legal And Illegal Acquisition Of Antiquities In Iraq, 19th Century To 2003.” In Cultural Heritage Issues, 185–97, 2010.","Legal And Illegal Acquisition Of Antiquities In Iraq, 19th Century To 2003",Yes,Ebook Chapter
161,Illicit Trading of Antiques,"Davis, Tess. “Supply and Demand: Exposing the Illicit Trade in Cambodian Antiquities through a Study of Sotheby’s Auction House.” Crime, Law, and Social Change 56, no. 2 (2011): 155–74.",Supply and Demand: Exposing the Illicit Trade in Cambodian Antiquities through a Study of Sotheby’s Auction House,Yes,Article
161,Illicit Trading of Antiques,"Fisman, Raymond, and Wei, Shang-Jin. “The Smuggling of Art, and the Art of Smuggling: Uncovering the Illicit Trade in Cultural Property and Antiques.” American Economic Journal. Applied Economics 1, no. 3 (2009): 82–96.","The Smuggling of Art, and the Art of Smuggling: Uncovering the Illicit Trade in Cultural Property and Antiques",Yes,Article
161,Illicit Trading of Antiques,"Ulph, Janet, Smith, Ian, and Tugendhat, Michael. The Illicit Trade in Art and Antiquities: International Recovery and Criminal and Civil Liability. Oxford, [England]; Portland, Oregon: Hart, Publishing, 2012.",The Illicit Trade in Art and Antiquities: International Recovery and Criminal and Civil Liability,Yes,Print Book
161,Illicit Trading of Antiques,"Watson, Peter, and Todeschini, Cecilia. The Medici Conspiracy the Illicit Journey of Looted Antiques from Italy's Tomb Raiders to the World's Greatest Museums. New York: PublicAffairs, 2007.",The Medici Conspiracy the Illicit Journey of Looted Antiques from Italy's Tomb Raiders to the World's Greatest Museums,Yes,Ebook
163,The Evolution of Police Brutality Around the World: Mid 20th Century to the Present,"Cavallaro, James., Manuel, Anne, and Human Rights Watch/Americas. Police Brutality in Urban Brazil. New York: Human Rights Watch, 1997.",Police Brutality in Urban Brazil,Yes,Print Book
163,The Evolution of Police Brutality Around the World: Mid 20th Century to the Present,"Juncker, Clara, Kosc, Grzegorz, Monteith, Sharon, and Waldschmidt-Nelson, Britta. The Transatlantic Sixties : Europe and the United States in the Counterculture Decade. 1. Aufl. Bielefeld: transcript-Verlag, 2014.",The Transatlantic Sixties : Europe and the United States in the Counterculture Decade,Yes,Print Book
163,The Evolution of Police Brutality Around the World: Mid 20th Century to the Present,"Niedermeier, Silvan, and Cohen, Paul Allen. The Color of the Third Degree. The Color of the Third Degree. Chapel Hill: University of North Carolina Press, 2019.",The Color of the Third Degree,Yes,Ebook
165,Climate Change and the Developing World,"Parker, Geoffrey, Global Crisis: War, Climate Change and Catastrophe in the Seventeenth Century. London: Yale University Press 2013.","Global Crisis: War, Climate Change and Catastrophe in the Seventeenth Century",Yes,Print Book
165,Climate Change and the Developing World,"Washington, Richard, Mike Harrison, Declan Conway, Emily Black, Andrew Challinor, David Grimes, Richard Jones, Andy Morse, Gillian Kay, and Martin Todd. ""AFRICAN CLIMATE CHANGE: Taking the Shorter Route."" Bulletin of the American Meteorological Society 87, no. 10 (2006): 1355-366. ",AFRICAN CLIMATE CHANGE: Taking the Shorter Route,Yes,Article
165,Climate Change and the Developing World,"Olawuyi, Damilola S. ""Middle East and North Africa."" Carbon & Climate Law Review 11, no. 4 (2017): 339-41.",Middle East and North Africa,Yes,Article
165,Climate Change and the Developing World,"Clayton, Susan. Psychology and Climate Change: Human Perceptions, Impacts, and Responses. London, United Kingdom: Academic Press, 2018.","Psychology and Climate Change: Human Perceptions, Impacts, and Responses",Yes,Print Book
167,A History of Migration and Rejection,"Young, Julia G. ""CRISTERO DIASPORA: MEXICAN IMMIGRANTS, THE U.S. CATHOLIC CHURCH, AND MEXICO'S CRISTERO WAR, 1926-29."" The Catholic Historical Review 98, no. 2 (2012): 271-300. Accessed March 4, 2020. www.jstor.org/stable/23240138.","CRISTERO DIASPORA: MEXICAN IMMIGRANTS, THE U.S. CATHOLIC CHURCH, AND MEXICO'S CRISTERO WAR, 1926-29",Yes,Print Book
167,A History of Migration and Rejection,"Arana, Marie. “Perspective | A History of Anti-Hispanic Bigotry in the United States,” August 9, 2019. https://www.washingtonpost.com/outlook/a-history-of-anti-hispanic-bigotry-in-the-united-states/2019/08/09/5ceaacba-b9f2-11e9-b3b4-2bb69e8c4e39_story.html.",A History of Anti-Hispanic Bigotry in the United States,Yes,Newspaper Article
167,A History of Migration and Rejection,"Young, J. G. D. (2015). Mexican exodus : emigrants, exiles, and refugees of the Cristero War. New York: Oxford University Press.","Mexican exodus : emigrants, exiles, and refugees of the Cristero War",Yes,Print Book
167,A History of Migration and Rejection,"Bailey, D. C. (1974). Viva Cristo Rey! The Cristero Rebellion and the church-state conflict in Mexico. Austin: University of Texas Press.",Viva Cristo Rey! The Cristero Rebellion and the church-state conflict in Mexico,Yes,Print Book
167,A History of Migration and Rejection,"Hyslop, Beatrice F. ""The American Press and the French Revolution of 1789."" Proceedings of the American Philosophical Society 104, no. 1 (1960): 54-85. Accessed November 9, 2020. http://www.jstor.org/stable/985604.",The American Press and the French Revolution of 1789,Yes,Article
169,Socioeconomic Inequality and the Fall of the Roman Republic,"Bernard, Seth. ""Debt, Land, and Labor in the Early Republican Economy."" Phoenix 70, no. 3/4 (2016): 317-38. Accessed September 25, 2020. doi:10.7834/phoenix.70.3-4.0317.","Debt, Land, and Labor in the Early Republican Economy",Yes,Article
169,Socioeconomic Inequality and the Fall of the Roman Republic,"Duncan, Mike. The Storm Before The Storm: the Beginning of the End of the Roman Republic. First Edition. New York, NY: PublicAffairs, 2017. ",The Storm Before The Storm: the Beginning of the End of the Roman Republic,Yes,Print Book
169,Socioeconomic Inequality and the Fall of the Roman Republic,"Mouritsen, Henrik. The Freedman in the Roman World. Cambridge, UK; New York: Cambridge University Press 2011. Requested through interlibrary loan. https://searchit.libraries.wsu.edu/permalink/f/1j6uprt/CP71113445200001451",The Freedman in the Roman Worl,Yes,Print Book
169,Socioeconomic Inequality and the Fall of the Roman Republic,"Yakobson, Alexander. ""TRADITIONAL POLITICAL CULTURE AND THE PEOPLE'S ROLE IN THE ROMAN REPUBLIC."" Historia: Zeitschrift Für Alte Geschichte 59, no. 3 (2010): 282-302. Accessed September 25, 2020. http://www.jstor.org/stable/25758311.",TRADITIONAL POLITICAL CULTURE AND THE PEOPLE'S ROLE IN THE ROMAN REPUBLIC,Yes,Article
171,Human Trafficking Becoming a Form of Contemporary Slavery,"Babatunde, Abosede Omowumi. ""Human Trafficking and Transnational Organized Crime: Implications for Security in Nigeria."" Peace Research 46, no. 1 (2014): 61-84. JSTOR.",Human Trafficking and Transnational Organized Crime: Implications for Security in Nigeria,Yes,Article
171,Human Trafficking Becoming a Form of Contemporary Slavery,"Brysk, Alison. From Human Trafficking to Human Rights: Reframing Contemporary Slavery. Philadelphia: University of Pennsylvania Press, 2012. muse.jhu.edu/book/13411",From Human Trafficking to Human Rights: Reframing Contemporary Slavery,Yes,Print Book
171,Human Trafficking Becoming a Form of Contemporary Slavery,"Omorodion, Francisca Isi. ""Vulnerability of Nigerian Secondary School to Human Sex Trafficking in Nigeria."" African Journal of Reproductive Health /La Revue Africaine De La Santé Reproductive 13, no. 2 (2009): 33-48. JSTOR.",Vulnerability of Nigerian Secondary School to Human Sex Trafficking in Nigeria,Yes,Article
171,Human Trafficking Becoming a Form of Contemporary Slavery,"Quirk, Joel. The Anti-Slavery Project: From the Slave Trade to Human Trafficking. Philadelphia: University of Pennsylvania Press, 2011. https://searchit.libraries.wsu.edu /permalink/f/1jnr272/TN_cdi_askewsholts_vlebooks_9780812205640",The Anti-Slavery Project: From the Slave Trade to Human Trafficking,Yes,Ebook
171,Human Trafficking Becoming a Form of Contemporary Slavery,"Reid, Richard J. A History of Modern Africa: 1800 to the Present. 2nd ed. Malden, MA: Wiley-Blackwell, 2012. https://searchit.libraries.wsu.edu/permalink/f/1j6uprt/CP7114 8649570001451",A History of Modern Africa: 1800 to the Present,Yes,Ebook
173,The Conflict of the Holy Land; Israel vs. Palestine,"Bunton, Martin P. Colonial land policies in Palestine, 1917-1936. Oxford: Oxford University Press, 2007","Colonial land policies in Palestine, 1917-1936",Yes,Print Book
173,The Conflict of the Holy Land; Israel vs. Palestine,"Franklin, Cynthia G., Morgan Cooper and Ibrahim G. Aoudé. “Life In Occupied Palestine: Three Cafés and a Special Issue.” 37, No. 2. (2014): 1-42. JSTOR",Life In Occupied Palestine: Three Cafés and a Special Issue,Yes,Article
173,The Conflict of the Holy Land; Israel vs. Palestine,"Morris, Benny. 1948: A History of the First Arab-Israeli war. New Haven Conn.: Yale University Press, 2008.",A History of the First Arab-Israeli war,Yes,Print Book
173,The Conflict of the Holy Land; Israel vs. Palestine,"Radai, Itamar. “The Rise and Fall of the Palestinian-Arab Middle Class under the British Mandate,1920-39.” Journal of Contemporary History, Vol. 51, No. 3. (2016): 487-506. https://doi.org/10.1353/bio.2015.0038 .","The Rise and Fall of the Palestinian-Arab Middle Class under the British Mandate,1920-39",Yes,Article
175,Virulent Pandemics,"Higgins, James E. ""A Lost History: Writing the Influenza Epidemic in Pennsylvania, 1918–1922."" Pennsylvania History: A Journal of Mid-Atlantic Studies 85, no. 3 (2018): 394-405. Accessed November 11, 2020. http://www.jstor.org/stable/10.5325/pennhistory.85.3.0394.","A Lost History: Writing the Influenza Epidemic in Pennsylvania, 1918–1922",Yes,Article
175,Virulent Pandemics,"Mamelund, Svenn-Erik, Sattenspiel Lisa, and Dimka Jessica. ""Influenza-Associated Mortality during the 1918-1919 Influenza Pandemic in Alaska and Labrador: A Comparison."" Social Science History 37, no. 2 (2013): 177-229. muse.jhu.edu/article/509316.",Influenza-Associated Mortality during the 1918-1919 Influenza Pandemic in Alaska and Labrador: A Comparison,Yes,Article
175,Virulent Pandemics,"Dehner, George. Global Flu & You A history of Influenza. London: Reaktion Books Limited, 2012. ProQuest eBook Central. ",Global Flu & You A history of Influenza,Yes,Ebook
175,Virulent Pandemics,"“As Fears of Wuhan’s Coronavirus Spread.” The New York Times, January 3, https://www.nytimes.com/2020/01/31/opinion/letters/wuhan-coronavirus.html",As Fears of Wuhan’s Coronavirus Spread,Yes,
177,Poland: A Falling Democracy,"Behrends, Jan C. ""Rokossowski Coming Home: The Making and Breaking of an (Inter-)national Hero in Stalinist Poland (1949-1956)."" The Hungarian Historical Review 5, no. 4 (2016): Dettmer, Jamie. “Who Will Win in Rule-of-Law Clash Between Poland and EU?” Voice of America (Online), February 4, 2020. https://www.voanews.com/europe/who-will-win-rule-law-clash-between-poland-and-eu.767-89. Accessed November 7, 2020. http://www.jstor.org/stable/44390814.",Rokossowski Coming Home: The Making and Breaking of an (Inter-)national Hero in Stalinist Poland (1949-1956),Yes,Article
177,Poland: A Falling Democracy,"Singer, Daniel. The Road to Gdansk: Poland and the USSR. New York, NY: Monthly Review Press, 1981.",The Road to Gdansk: Poland and the USSR,Yes,Print Book
177,Poland: A Falling Democracy,"Stachura, Peter D. Poland in the Twentieth Century. Manhattan, NY: St. Martins Press, 1999.",Poland in the Twentieth Century,Yes,Print Book
