paper_number,paper_title,bib_citation,source_title,searchit_yes_no,searchit_format
203,The Evolution of Racism in America in Correlation with Britain from the 1900’s to the Present Day,"Asadullah Samad, A. 2003. ""Still on ""Tip-Toe Stance:"" Racial and Ethnic Conflict Ever-Present in America."" Los Angeles Sentinel, May 15, A.7. https://ntserver1.wsulibs.wsu.edu:2152/docview/369313960?accountid=14902.","Still on ""Tip-Toe Stance:"" Racial and Ethnic Conflict Ever-Present in America",Yes,Newspaper Article
203,The Evolution of Racism in America in Correlation with Britain from the 1900’s to the Present Day,"Flecha, Ramon. “Modern and Postmodern Racism in Europe: Dialogic Approach and Anti-Racist Pedagogies.” Harvard Educational Review 69, no. 2 (1999). https://doi.org/10.17763/haer.69.2.3346055q431g2u03",Modern and Postmodern Racism in Europe: Dialogic Approach and Anti-Racist Pedagogies,Yes,Article
203,The Evolution of Racism in America in Correlation with Britain from the 1900’s to the Present Day,"McVeigh, Rory. ""Structured Ignorance and Organized Racism in the United States."" Social Forces 82, no. 3 (2004): 895-936. Accessed October 5, 2020. http://www.jstor.org/stable/3598361.",Structured Ignorance and Organized Racism in the United States,Yes,Article
205,"From the Plantation to the Penitentiary, How Racism and Presumptive Criminality Have Shaped the Black American Experience.","Alexander, Michelle. The New Jim Crow: Mass Incarceration in the Age of Colorblindness. New York: New Press, 2020. ",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Yes,Print Book
205,"From the Plantation to the Penitentiary, How Racism and Presumptive Criminality Have Shaped the Black American Experience.","Muhammad, K. G. The Condemnation of Blackness: Race, Crime, and the Making of Modern Urban America. Cambridge, MA: Harvard University Press, 2019.","The Condemnation of Blackness: Race, Crime, and the Making of Modern Urban America",Yes,Print Book
205,"From the Plantation to the Penitentiary, How Racism and Presumptive Criminality Have Shaped the Black American Experience.","Nellis, A., Ph.D. (2016). “The Color of Justice: Racial and Ethnic Disparity in State Prisons.” The Sentencing Project.",The Color of Justice: Racial and Ethnic Disparity in State Prisons,Yes,Journal
205,"From the Plantation to the Penitentiary, How Racism and Presumptive Criminality Have Shaped the Black American Experience.","Hernandez, K. L., Muhammad, K. G., & Thompson, H. A. (2015). “Introduction: Constructing the Carceral State.” Journal of American History, 102(1), 18-24. doi:10.1093/jahist/jav259",Introduction: Constructing the Carceral State,Yes,Article
205,"From the Plantation to the Penitentiary, How Racism and Presumptive Criminality Have Shaped the Black American Experience.","Fredrickson, George Marsh, and Albert Camarillo. Racism: A Short History. Princeton, NJ: Princeton Univ. Press, 2015. ",Racism: A Short History,Yes,Print Book
205,"From the Plantation to the Penitentiary, How Racism and Presumptive Criminality Have Shaped the Black American Experience.","Du Bois, W. E. B. (1903) The Souls of Black Folk. New York, N.Y:  Penguin Books, 1989.",The Souls of Black Folk,Yes,Print Book
205,"From the Plantation to the Penitentiary, How Racism and Presumptive Criminality Have Shaped the Black American Experience.","Phil Bertelsen, director. The African Americans: Many Rivers to Cross. 2013; Arlington, VA: pbs.",The African Americans: Many Rivers to Cross,Yes,DVD Video
207,Indonesian Struggle for Independence under the Colonization of Dutch and Japanese Empire,"Ricklefs, Merle C. A History of Modern Indonesia, c. 1300 to the Present. Bloomington: Indiana University Press, 1981.","A History of Modern Indonesia, c. 1300 to the Present",Yes,Print Book
207,Indonesian Struggle for Independence under the Colonization of Dutch and Japanese Empire,"Steedly, Mary M. Rifle Reports: A Story of Indonesian Independence. London [England]; Los Angeles: University of California Press, 2013.",Rifle Reports: A Story of Indonesian Independence,Yes,Print Book
209,The story of Kashmir,"Shubha Kamala Prasad, “Analysis | India Is Cracking down on University Protests. Here's What You Need to Know.,” The Washington Post (WP Company, January 10, 2020), https://www.washingtonpost.com/politics/2020/01/10/india-is-cracking-down-university-protests-heres-what-you-need-know/. ",Analysis | India Is Cracking down on University Protests. Here's What You Need to Know,Yes,Newspaper Article
209,The story of Kashmir,"Zia, Ather. ""LoC: The Line ""out"" of Control in the Region of Kashmir."" American Quarterly 71, no. 4 (2019): 1037-1043. doi:10.1353/aq.2019.0074.","LoC: The Line ""out"" of Control in the Region of Kashmir",Yes,Article
